IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV,class
5.37,15.32,9.59,9.35,12.94,21.83,35.44,0.05,0.03,0.06,0.04,1.53,-1.01,-4.69,0.08,0.5,7.89,9.89,0.56,-0.3,-4.75,0.33,0.53,-1.16,1.8,0.37,0.01,0.33,N
-1.78,10.2,7.27,8.19,61.74,28.66,30.19,0.07,0.06,0.06,0.06,1.22,-21.35,7.71,0.56,0.61,38.55,11.74,0.58,1.2,7.91,0.51,0.53,-0.93,1.43,0.65,0.02,0.65,N
6.57,18.98,10.57,41.63,83.19,58.1,67.27,0.05,0.11,0.08,0.12,0.31,-3.36,5.79,0.57,0.49,7.65,-2.18,0.35,1.38,-1.15,0.4,0.39,-0.24,1.28,0.78,0.01,0.46,N
5.25,23.5,9.76,43.02,11.02,170.89,409.86,0.03,0.07,0.06,0.04,0.51,-1.99,11.32,1.22,0.59,3.66,52.28,0.53,1.07,8.64,0.57,0.69,-0.56,1.29,0.34,0.01,0.58,N
5.32,17.25,9.11,10.27,19.27,32.19,29.33,0.04,0.05,0.06,0.06,0.58,-14.21,-9.84,0.54,0.51,-18.4,-21.52,0.52,-1.2,1.18,0.39,0.56,-0.81,1.03,0.37,0.02,0.61,N
5.89,13.49,7.38,8.77,17.0,47.26,24.72,0.05,0.04,0.04,0.04,0.61,-11.87,5.44,1.02,0.51,15.75,-8.61,0.47,-1.07,0.68,0.36,0.62,-0.72,1.52,0.45,0.01,0.5,N
6.06,22.22,18.71,6.35,60.11,47.95,48.37,0.05,0.04,0.06,0.05,0.6,6.83,-5.88,0.63,0.43,-4.36,-2.67,0.42,1.31,4.28,0.45,0.53,-1.37,0.71,0.9,0.02,0.59,N
2.88,12.97,8.68,8.26,27.69,18.72,19.66,0.05,0.07,0.04,0.02,0.56,-2.71,21.59,0.91,0.58,6.27,11.81,0.54,-1.26,0.51,0.45,0.59,-0.36,1.2,-0.2,0.01,0.58,N
6.49,11.72,8.29,8.57,19.56,16.51,17.29,0.07,0.15,0.04,0.05,1.51,-2.04,1.96,1.16,0.56,2.45,3.23,0.61,-0.96,-0.92,0.37,0.58,-0.88,0.84,0.64,0.02,0.53,N
5.71,46.34,8.18,7.5,17.1,641.1,134.73,0.1,0.06,0.04,0.09,0.55,-3.26,8.92,0.81,0.53,6.61,-10.34,0.52,-1.05,0.11,0.41,0.6,-0.41,1.04,0.47,0.02,0.58,N
6.48,25.58,7.68,9.52,24.38,44.68,57.0,0.04,0.04,0.04,0.05,1.14,7.54,-22.9,0.64,0.55,-6.52,-4.05,0.52,1.21,4.6,0.5,0.52,-1.16,1.19,0.43,0.01,0.63,N
5.62,14.8,15.04,11.18,24.97,42.37,117.34,0.06,0.07,0.04,0.04,0.77,-12.64,-19.03,0.54,0.54,-7.68,-7.69,0.49,-1.08,1.77,0.38,0.56,-1.11,0.87,0.8,0.02,0.62,N
4.7,18.45,6.35,8.86,21.84,40.83,45.56,0.06,0.06,0.05,0.04,2.3,-2.78,-19.14,0.48,0.6,-150.97,35.65,0.53,-1.2,2.93,0.36,0.45,-0.8,1.09,0.53,0.01,0.49,N
5.87,21.01,8.71,8.94,17.31,72.91,43.5,0.09,0.04,0.14,0.04,1.64,-1.91,8.22,1.49,0.53,3.65,63.44,0.49,-1.37,8.16,0.44,0.66,-0.56,0.92,0.49,0.02,0.62,N
4.87,16.17,6.79,10.04,40.21,59.19,41.39,0.05,0.08,0.03,0.04,0.65,-26.94,8.04,0.58,0.54,7.15,10.78,0.52,1.18,7.74,0.47,0.49,-1.07,0.35,0.21,0.02,0.62,N
-0.47,18.6,6.56,11.22,17.04,45.67,36.88,0.1,0.04,0.05,0.08,1.78,-8.68,5.85,0.98,0.58,27.08,10.72,0.53,-0.43,-4.01,0.38,0.45,-1.28,1.15,0.62,0.02,0.64,N
5.29,13.69,12.11,7.4,16.31,37.82,37.43,0.06,0.23,0.1,0.2,1.07,-4.03,3.41,0.83,0.64,5.73,-4.93,0.45,-1.1,1.56,0.41,0.48,-0.3,1.78,0.78,0.02,0.65,N
7.38,9.36,7.77,8.15,18.08,38.3,48.64,0.07,0.04,0.05,0.08,1.0,-2.71,3.99,0.72,0.57,3.33,5.52,0.54,1.14,19.7,0.58,0.7,-0.84,1.64,0.38,0.02,0.62,N
5.51,23.86,9.54,8.23,20.49,27.69,19.51,0.04,0.05,0.05,0.05,0.58,-32.19,-33.73,0.91,0.54,-30.84,-70.82,0.53,-0.56,-4.2,0.38,0.56,-0.88,0.86,0.32,0.01,0.62,N
5.21,16.41,13.42,14.22,13.45,41.72,54.24,0.04,0.04,0.04,0.08,0.54,-2.34,4.48,1.16,0.57,2.81,4.89,0.56,-1.13,1.26,0.43,0.45,-0.62,1.31,-0.03,0.02,0.6,N
-0.65,26.02,7.22,8.67,24.37,33.88,36.82,0.05,0.05,0.06,0.06,4.2,-5.42,-5.96,0.49,0.57,-15.96,-3.52,0.55,1.27,7.84,0.43,0.5,-1.05,0.9,0.79,0.02,0.68,N
5.87,20.64,12.28,18.58,16.96,230.74,79.02,0.04,0.05,0.07,0.08,1.11,-133.1,2.89,0.77,0.47,8.02,3.69,0.52,1.7,-7.71,0.4,0.41,-0.86,1.81,0.67,0.01,0.65,N
5.53,27.4,6.58,15.6,20.56,36.38,27.24,0.04,0.04,0.05,0.04,0.73,-7.59,-46.74,0.65,0.56,-33.83,9.49,0.51,1.29,2.16,0.45,0.56,-0.89,0.93,0.4,0.02,0.52,N
5.64,13.34,9.01,8.78,33.96,19.66,21.36,0.05,0.07,0.04,0.06,1.06,-9.37,14.11,0.52,0.65,39.31,14.47,0.59,1.75,8.3,0.46,0.57,-0.83,1.16,0.76,0.02,0.61,N
-2.32,9.07,7.13,10.4,21.48,49.19,38.1,0.04,0.06,0.24,0.09,1.18,-19.91,-5.98,0.46,0.53,-8.24,-2.0,0.5,1.44,4.4,0.48,0.51,-0.66,1.14,0.28,0.01,0.33,N
5.25,23.81,10.77,13.21,14.32,30.49,51.73,0.05,0.05,0.03,0.05,0.99,35.29,37.97,0.34,0.56,58.5,-8.17,0.57,-0.18,-9.1,0.38,0.48,-0.82,1.27,0.98,0.02,0.6,N
5.69,24.48,8.11,12.74,10.35,36.59,23.08,0.04,0.11,0.06,0.05,1.23,-3.3,4.57,1.05,0.58,6.56,40.69,0.52,-0.68,-0.87,0.36,0.52,-1.19,1.64,0.3,0.02,0.6,N
6.62,27.25,13.27,8.26,14.22,29.89,24.58,0.04,0.04,0.04,0.04,0.52,-3.88,2.13,1.81,0.58,2.55,10.77,0.47,2.06,4.62,0.39,0.52,-0.78,0.3,0.66,0.02,0.02,N
6.29,20.33,10.08,8.27,18.93,45.06,63.44,0.06,0.04,0.03,0.05,1.98,-5.05,57.87,0.59,0.59,21.84,2.44,0.52,-0.94,-0.04,0.39,0.51,-0.87,1.7,0.58,0.02,0.62,N
14.05,8.64,23.98,10.23,16.91,39.26,45.66,0.15,0.05,0.09,0.06,0.49,-1.2,6.74,1.05,0.52,2.24,11.26,0.49,-0.82,-1.38,0.42,0.52,0.03,1.14,0.22,0.01,0.63,N
-0.7,24.27,9.03,7.45,18.41,41.68,47.79,0.05,0.04,0.04,0.07,0.46,-4.36,6.49,0.82,0.52,6.7,-3.07,0.41,-0.98,0.94,0.3,1.0,-0.33,0.55,0.26,0.01,0.45,N
7.03,23.81,9.53,8.82,38.52,28.27,42.78,0.05,0.06,0.05,0.03,0.71,-4.64,4.47,1.38,0.52,5.69,-4.3,0.49,1.79,1.99,0.44,0.66,-0.48,0.91,0.26,0.02,0.54,N
6.2,13.88,11.06,8.15,25.89,24.98,31.4,0.04,0.05,0.05,0.07,0.48,12.23,-7.2,0.52,0.51,-28.16,-1.28,0.47,1.28,5.97,0.48,0.47,-0.63,1.3,0.81,0.01,0.46,N
4.82,40.58,7.89,10.02,12.05,90.82,45.11,0.05,0.03,0.04,0.03,0.65,114.3,2.46,1.23,0.58,4.01,16.49,0.57,0.96,16.46,0.55,0.55,-0.57,0.82,0.79,0.01,0.65,N
16.78,9.93,7.86,6.74,27.26,32.92,49.61,0.04,0.06,0.04,0.05,7.21,-3.33,4.86,1.1,0.61,8.68,-80.8,0.54,1.48,5.2,0.44,0.58,-0.51,1.01,0.39,0.02,0.58,N
17.67,15.44,12.13,6.26,83.76,49.74,39.39,0.05,0.04,0.05,0.03,0.68,-2.69,2.27,1.29,0.63,2.33,6.76,0.6,1.81,12.17,0.41,0.79,-0.77,0.81,0.66,0.02,0.62,N
6.11,21.27,6.98,7.96,13.63,31.61,28.68,0.03,0.05,0.09,0.04,1.7,-8.41,8.19,1.1,0.57,8.09,15.59,0.49,1.97,5.76,0.46,0.6,-1.45,0.72,0.65,0.02,0.58,N
15.22,21.63,9.46,8.11,11.7,52.7,37.54,0.06,0.13,0.07,0.13,1.41,-3.16,-8.17,1.02,0.55,6.85,-1.58,0.43,0.99,20.29,0.48,0.61,0.3,1.18,0.84,0.01,0.57,N
3.56,10.52,6.21,9.72,21.67,31.9,38.34,0.03,0.07,0.05,0.06,1.95,-5.0,47.75,0.66,0.64,127.67,7.21,0.55,1.57,3.71,0.45,0.59,-0.97,1.26,0.25,0.02,0.6,N
6.02,10.3,9.0,6.91,19.3,27.14,30.02,0.05,0.03,0.05,0.04,0.71,-10.85,85.26,0.86,0.58,377.83,-23.68,0.51,-1.0,2.09,0.38,0.56,-0.91,0.65,0.58,0.01,0.59,N
14.81,14.44,9.34,6.84,47.69,45.99,51.5,0.34,0.03,0.07,0.05,1.58,-1.65,0.98,1.36,0.55,1.61,3.26,0.62,1.57,5.44,0.55,0.83,-0.55,1.52,-0.12,0.01,0.52,N
5.39,34.13,7.05,6.49,22.48,26.62,31.48,0.04,0.06,0.05,0.03,0.7,-4.05,4.23,1.32,0.53,4.43,-4.44,0.43,-1.24,4.35,0.37,0.65,-0.52,0.36,0.83,0.01,0.52,N
5.12,13.58,7.99,8.36,10.28,46.91,73.1,0.06,0.06,0.06,0.08,1.06,1097.14,41.85,0.7,0.65,-33.44,-8.0,0.51,1.27,7.26,0.52,0.59,-1.03,1.57,0.64,0.02,0.58,N
6.32,25.47,6.5,11.68,59.3,83.4,128.65,0.06,0.04,0.04,0.04,1.12,9.51,87.77,0.73,0.6,-19.5,-5.51,0.52,-0.8,-0.12,0.38,0.5,-0.86,1.07,0.81,0.02,0.67,N
-1.32,8.9,5.89,10.48,14.17,44.76,33.76,0.05,0.13,0.13,0.13,1.55,-18.65,5.24,1.68,0.54,9.36,-1.89,0.39,1.15,4.43,0.59,0.58,0.44,0.54,0.44,0.02,0.6,N
5.14,13.1,10.16,9.08,15.75,24.41,22.78,0.15,0.03,0.09,0.06,0.32,-2.19,1.26,0.88,0.56,1.42,5.15,0.53,-1.08,2.43,0.36,0.66,0.44,0.7,0.3,0.02,0.6,N
5.35,15.98,15.39,11.84,13.27,116.6,77.2,0.11,0.03,0.05,0.05,1.89,-575.7,-19.89,0.56,0.63,-33.79,3.2,0.48,1.28,-0.4,0.45,0.46,-1.02,1.99,0.27,0.01,0.02,N
-0.27,25.35,12.55,10.33,19.99,61.62,75.06,0.07,0.04,0.05,0.07,0.55,-3.36,4.38,0.76,0.58,4.13,19.39,0.56,-0.84,-0.27,0.41,0.54,-0.93,1.42,0.56,0.01,0.55,N
4.41,20.02,8.37,14.11,20.04,93.23,43.16,0.04,0.08,0.03,0.04,0.95,-1.37,7.26,1.3,0.59,3.03,7.31,0.5,-0.74,-0.31,0.43,0.52,-0.68,1.84,0.71,0.01,0.6,N
5.76,13.93,9.21,8.38,15.75,28.27,41.79,0.04,0.06,0.04,0.04,5.48,-2.29,8.44,1.02,0.53,5.61,12.11,0.44,-0.73,-1.02,0.32,0.52,-1.96,1.23,0.53,0.01,0.51,N
6.83,18.88,7.89,9.98,15.09,21.9,21.71,0.05,0.04,0.03,0.03,1.54,-1.66,2.88,1.3,0.55,2.17,2.51,0.63,-0.79,-1.14,0.37,0.57,-1.11,1.11,0.35,0.01,0.6,N
6.83,25.51,9.67,8.24,9.96,49.53,96.76,0.03,0.05,0.05,0.16,1.13,-37.21,9.88,0.66,0.64,-234.42,-118.4,0.57,1.43,6.85,0.46,0.6,-0.86,1.23,0.47,0.02,0.63,N
6.95,30.76,15.49,7.89,36.48,86.01,55.14,0.05,0.09,0.11,0.07,0.72,-7.0,3.79,0.6,0.51,4.53,-9.38,0.5,-0.82,-0.8,0.37,0.58,-0.19,1.45,0.55,0.02,0.64,N
5.86,101.62,19.1,10.77,16.43,27.75,47.74,0.07,0.04,0.05,0.05,0.71,-3.19,-3.36,0.69,0.46,-5.44,-2.17,0.39,-0.98,-1.22,0.35,0.68,-1.09,1.94,0.78,0.01,0.51,N
5.27,27.08,12.25,10.76,21.98,31.51,43.11,0.04,0.04,0.05,0.05,1.05,-13.43,5.37,0.6,0.55,7.52,9.52,0.55,1.15,11.04,0.51,0.51,-0.9,0.74,0.49,0.01,0.56,N
-2.23,42.27,7.67,7.95,32.92,133.42,77.35,0.05,0.04,0.04,0.04,2.0,-11.3,7.01,0.94,0.56,82.21,-83.07,0.5,1.74,8.35,0.44,0.62,-1.29,0.78,0.5,0.02,0.63,N
6.21,24.63,7.03,6.48,10.51,19.72,20.56,0.05,0.07,0.06,0.1,1.72,8.75,-2.05,0.24,0.56,-2.94,-3.47,0.49,1.45,0.77,0.42,0.5,-1.18,0.51,0.69,0.01,0.65,N
6.56,22.33,13.78,12.43,17.52,80.83,175.99,0.14,0.06,0.13,0.06,0.46,-3.36,5.04,0.87,0.62,5.08,-19.12,0.51,-1.18,0.79,0.42,0.72,-0.53,1.55,0.78,0.02,0.63,N
5.65,27.46,8.76,8.96,25.05,103.13,23.15,0.03,0.04,0.03,0.04,0.57,-1.98,1.69,0.29,0.47,1.72,-15.31,0.44,-1.36,1.9,0.39,0.69,0.12,1.23,0.15,0.01,0.32,N
-1.04,10.9,20.8,9.4,18.52,23.59,49.65,0.06,0.06,0.06,0.05,1.23,-5.32,1.8,0.68,0.54,3.16,2.33,0.51,1.24,4.17,0.35,0.53,-1.28,2.26,0.28,0.02,0.55,N
5.07,15.29,13.04,13.74,24.85,80.01,72.75,0.12,0.05,0.08,0.1,0.43,-4.39,4.24,0.6,0.49,3.69,-17.6,0.58,1.25,2.5,0.39,0.46,-0.33,1.08,0.85,0.02,0.65,N
0.36,15.44,15.09,12.25,18.99,39.31,40.49,0.05,0.04,0.04,0.05,0.7,-2.92,7.19,0.69,0.53,7.58,14.25,0.51,1.88,-2.59,0.41,0.54,-0.51,1.34,0.36,0.02,0.59,N
5.51,20.21,11.23,11.31,18.77,49.53,38.71,0.12,0.1,0.08,0.05,1.68,-2.63,7.8,0.15,0.56,4.0,-3.87,0.51,1.02,-1.88,0.41,0.34,-0.67,1.81,1.05,0.02,0.62,N
4.59,29.28,8.74,10.17,10.55,24.17,23.13,0.05,0.04,0.06,0.14,2.91,-1.89,3.62,0.74,0.52,2.48,2.93,0.57,0.9,2.62,0.45,0.42,-1.2,0.85,0.56,0.01,0.02,N
6.16,24.18,7.04,7.48,34.09,62.32,45.25,0.04,0.04,0.04,0.04,1.06,21.36,43.38,0.72,0.57,-22.94,-4.04,0.5,1.32,4.12,0.45,0.5,-1.21,0.87,0.8,0.02,0.6,N
14.65,16.98,7.77,7.06,17.63,58.41,51.05,0.05,0.06,0.04,0.05,0.99,-4.49,3.98,0.78,0.51,4.13,3.24,0.59,-2.45,6.77,0.42,0.54,-0.78,1.01,0.24,0.02,0.62,N
6.06,32.55,28.45,9.09,17.42,77.61,82.01,0.14,0.05,0.07,0.08,0.43,-17.68,2.32,0.86,0.6,3.44,-2.75,0.48,-0.03,-9.73,0.39,0.25,-0.05,1.23,0.74,0.01,0.65,N
5.31,30.22,16.39,10.47,9.83,34.49,41.44,0.05,0.13,0.11,0.07,0.7,10.32,4.0,1.15,0.53,7.27,-2.48,0.48,1.27,8.7,0.51,0.52,-0.07,0.76,0.55,0.02,0.64,N
5.96,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.09,0.74,0.35,0.07,0.01,1.99,1.36,0.04,2.99,-0.6,0.23,-2.29,3.1,0.35,0.83,1.59,0.09,0.58,0.01,0.52,N
4.32,30.5,7.62,10.43,14.7,41.44,28.98,0.03,0.31,0.14,0.12,0.95,-2.38,1.75,1.15,0.63,2.64,4.06,0.58,-1.91,5.52,0.43,0.74,-0.33,1.33,0.43,0.02,0.56,N
6.15,28.94,9.25,9.49,25.7,341.68,235.7,0.09,0.04,0.05,0.06,2.01,11.2,8.38,0.22,0.58,48.65,-3.57,0.55,1.29,-3.85,0.42,0.45,-1.16,1.33,0.79,0.01,0.52,N
7.17,28.21,13.35,7.03,15.87,80.92,148.05,0.05,0.04,0.06,0.07,1.61,-4.23,6.99,0.89,0.61,4.69,606.09,0.56,2.09,20.03,0.49,0.54,-0.83,1.48,0.77,0.02,0.6,N
4.93,17.91,14.27,8.37,19.48,33.24,31.79,0.04,0.04,0.05,0.05,0.74,-8.75,-5.48,0.68,0.56,-11.96,-2.6,0.48,-0.62,-2.11,0.41,0.48,-0.81,1.19,0.72,0.01,0.38,N
6.74,26.24,8.65,5.63,25.53,29.5,30.47,0.05,0.08,0.03,0.03,0.98,-14.53,-9.03,0.36,0.56,-12.23,-54.94,0.54,1.51,-0.36,0.42,0.54,-1.05,0.96,0.68,0.02,0.62,N
5.87,14.37,9.32,6.02,18.51,31.09,25.63,0.17,0.07,0.04,0.04,1.54,-17.29,13.35,0.82,0.56,13.02,-3.31,0.48,0.87,15.14,0.55,0.52,-0.74,0.59,0.55,0.01,0.46,N
16.46,48.84,7.54,8.04,13.29,29.77,40.93,0.05,0.05,0.06,0.05,0.72,11.07,-44.25,0.92,0.58,-29.61,-2.63,0.45,1.92,6.52,0.45,0.63,-0.7,1.02,0.63,0.02,0.58,N
4.95,29.32,8.94,8.98,18.03,20.13,24.65,0.03,0.07,0.04,0.08,0.99,-4.18,6.84,1.39,0.56,6.77,-7.81,0.5,1.47,7.24,0.46,0.59,-0.89,1.12,0.5,0.01,0.59,N
14.89,18.79,9.96,8.43,18.89,32.46,31.26,0.1,0.06,0.05,0.04,4.26,-5.79,-4.38,0.44,0.52,-12.13,31.18,0.55,-0.85,-0.73,0.39,0.52,-1.17,1.07,0.77,0.01,0.65,N
6.16,17.09,10.68,9.39,31.26,242.82,269.7,0.1,0.05,0.04,0.04,0.56,3.46,25.34,0.83,0.51,-14.15,-5.93,0.51,0.94,13.51,0.57,0.54,-0.79,0.79,0.48,0.02,0.61,N
5.31,15.78,9.42,9.61,8.39,28.32,26.76,0.05,0.03,0.04,0.04,0.92,-1.44,4.69,1.11,0.52,2.31,3.31,0.59,-0.9,0.58,0.34,0.53,-0.43,0.71,-0.08,0.01,0.61,N
4.87,18.48,6.03,9.42,47.3,53.3,38.01,0.05,0.07,0.07,0.04,2.13,-5.2,5.07,0.66,0.55,8.07,5.82,0.56,1.53,9.19,0.48,0.53,-0.73,1.6,0.57,0.02,0.57,N
4.54,21.96,17.51,15.26,16.21,73.86,94.65,0.07,0.04,0.22,0.06,0.25,7.74,587.25,0.79,0.45,-13.1,-1.99,0.45,1.86,5.7,0.63,0.36,-0.18,1.31,0.16,0.01,0.54,N
16.22,10.19,8.34,11.66,7.52,64.74,56.21,0.05,0.06,0.06,0.05,2.89,-3.53,3.27,0.94,0.63,3.6,3.94,0.56,0.53,32.5,0.69,0.68,-0.48,0.79,0.43,0.02,0.6,N
6.0,26.21,8.97,7.11,19.61,346.06,305.69,0.07,0.04,0.05,0.06,0.32,4.75,-6.77,0.54,0.45,-8.27,-2.66,0.51,1.4,3.07,0.48,0.54,-0.51,0.83,0.69,0.02,0.03,N
7.33,23.39,8.43,9.1,10.23,52.99,56.36,0.05,0.04,0.04,0.05,1.6,-2.37,35.23,0.62,0.6,6.11,-4.94,0.55,1.44,7.68,0.44,0.51,-0.88,1.51,0.68,0.01,0.34,N
4.79,17.62,13.97,7.46,14.94,21.56,27.51,0.06,0.03,0.05,0.04,0.72,-8.27,-6.24,0.32,0.49,-47.64,-3.48,0.54,-0.4,-4.65,0.3,0.48,-0.72,1.44,0.67,0.02,0.55,N
13.92,18.13,17.02,10.43,16.87,31.6,41.88,0.05,0.08,0.05,0.07,0.67,-3.38,-100.84,0.9,0.59,5.7,-65.1,0.47,-1.37,4.78,0.41,0.56,-0.46,1.85,1.28,0.02,0.64,N
-0.59,9.37,14.8,13.15,17.31,36.42,25.31,0.11,0.06,0.12,0.05,0.92,-4.29,3.14,1.04,0.58,3.2,-2.93,0.57,0.03,42.99,0.77,0.7,-0.41,1.49,0.95,0.01,0.47,N
15.71,25.68,7.23,8.79,12.32,82.2,86.2,0.11,0.03,0.04,0.04,0.97,-98.21,-114.65,0.73,0.54,69.02,12.29,0.56,1.28,11.29,0.5,0.56,-1.03,1.48,0.48,0.02,0.62,N
1.71,20.57,8.32,11.77,36.24,19.16,28.15,0.07,0.05,0.07,0.04,0.54,-0.91,2.21,1.36,0.51,1.32,-16.89,0.38,-1.03,-2.63,0.3,0.56,0.59,0.97,0.83,0.02,0.65,N
6.19,14.7,14.97,6.09,14.0,67.81,144.63,0.06,0.1,0.08,0.07,0.98,-13.21,-40.88,1.05,0.56,13.41,-3.97,0.52,1.57,14.52,0.49,0.54,-0.81,1.33,0.72,0.01,0.62,N
5.36,20.99,13.52,11.21,30.35,25.44,31.74,0.1,0.09,0.11,0.11,0.54,-5.95,3.08,0.83,0.47,3.76,-5.96,0.48,1.12,3.97,0.42,0.52,-0.18,0.44,0.89,0.0,0.0,N
-1.78,39.86,11.74,11.5,26.94,69.72,55.11,0.14,0.04,0.12,0.06,0.62,-1.91,3.05,1.04,0.46,2.09,12.75,0.49,1.37,2.64,0.42,0.5,0.04,1.24,0.47,0.02,0.62,N
-0.62,16.67,13.65,12.54,24.56,22.36,24.31,0.09,0.13,0.13,0.13,0.83,-0.96,2.83,1.48,0.47,1.51,-1.55,0.2,1.61,-9.3,0.32,0.18,1.78,0.37,0.38,0.0,0.0,N
3.97,36.78,12.88,6.47,17.34,78.5,78.9,0.06,0.04,0.04,0.05,2.2,4.43,4.76,0.94,0.57,-23.61,6.19,0.56,1.2,7.9,0.53,0.52,-1.2,1.29,0.46,0.02,0.63,N
5.88,23.67,15.09,18.42,16.67,41.68,37.63,0.26,0.06,0.04,0.06,0.64,11.22,6.96,0.44,0.5,7.86,27.62,0.56,0.02,-14.6,0.39,0.37,-0.44,1.3,0.81,0.02,0.02,N
-0.34,22.36,10.13,9.37,10.88,67.76,68.0,0.05,0.05,0.06,0.07,6.32,-4.52,-4.36,0.64,0.59,-19.65,4.79,0.5,1.31,5.57,0.42,0.49,-1.1,1.83,0.76,0.01,0.51,N
-0.42,13.83,10.79,14.03,37.33,28.51,22.78,0.05,0.07,0.05,0.04,0.45,-7.35,21.88,0.39,0.54,15.88,-2.45,0.51,1.21,3.23,0.44,0.51,-0.83,1.04,0.61,0.01,0.42,N
14.21,23.94,6.88,10.01,9.89,27.98,22.13,0.04,0.04,0.05,0.04,5.24,-2.53,11.16,0.99,0.62,6.42,6.35,0.55,2.01,7.27,0.45,0.5,-1.47,0.92,0.38,0.02,0.61,N
4.11,15.27,11.04,13.82,31.68,76.74,69.76,0.09,0.12,0.07,0.03,0.49,-13.45,-9.96,0.34,0.46,-93.84,-2.68,0.4,-1.88,2.9,0.06,0.75,-0.54,1.62,0.39,0.02,0.64,N
5.13,12.0,8.39,13.34,10.2,76.5,56.62,0.04,0.05,0.05,0.04,3.37,-3.92,5.53,1.32,0.52,5.26,7.82,0.47,1.66,6.2,0.43,0.52,-1.15,0.28,0.68,0.01,0.56,N
-0.54,50.05,10.85,8.81,26.18,58.81,27.21,0.05,0.15,0.1,0.08,0.53,-1.7,2.32,1.04,0.59,1.88,-3.19,0.53,1.05,8.32,0.45,0.52,0.05,1.17,0.94,0.01,0.51,N
6.01,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.05,0.05,0.04,0.13,16.2,7.01,0.63,0.37,4.5,-1.99,0.38,1.4,8.33,0.51,0.6,0.65,0.33,0.63,0.01,0.65,N
6.56,9.6,7.17,8.2,28.79,28.38,27.59,0.08,0.04,0.06,0.08,1.06,-2.4,4.7,0.81,0.64,4.42,11.12,0.58,-1.01,1.77,0.39,0.54,-0.73,1.42,0.45,0.01,0.5,N
5.59,56.29,8.22,11.31,21.98,40.47,36.3,0.06,0.04,0.04,0.04,1.01,-2.18,7.91,1.27,0.4,4.92,29.05,0.47,-1.08,-0.02,0.39,0.35,-0.79,0.67,1.38,0.02,0.63,N
4.76,9.43,7.76,8.19,10.88,65.42,61.65,0.06,0.06,0.07,0.04,8.33,-1.31,11.43,1.56,0.61,4.77,6.23,0.51,-1.79,4.92,0.41,0.76,-0.79,1.8,0.37,0.02,0.63,N
5.01,20.27,9.3,8.72,14.96,44.1,89.57,0.04,0.03,0.03,0.04,0.64,-3.41,2.56,1.21,0.56,2.25,-3.39,0.49,0.85,7.81,0.45,0.48,-0.18,0.71,0.23,0.01,0.43,N
4.48,17.34,9.03,10.19,15.82,47.39,36.27,0.03,0.07,0.08,0.11,0.89,-4.14,3.59,0.78,0.44,3.07,262.53,0.43,-1.22,1.54,0.27,0.52,-0.22,0.81,0.57,0.01,0.55,N
5.72,52.52,9.51,7.43,11.38,888.75,854.69,0.05,0.05,0.05,0.06,0.68,-4.72,23.3,0.82,0.55,7.61,-15.03,0.51,1.03,7.81,0.45,0.56,-0.39,0.69,0.75,0.02,0.58,N
-0.97,33.64,12.13,8.96,13.77,31.96,32.28,0.06,0.04,0.08,0.08,0.96,-8.3,3.07,1.37,0.53,3.74,35.73,0.5,1.88,8.13,0.46,0.6,-0.46,0.46,0.69,0.02,0.56,N
5.1,10.24,8.33,9.11,18.36,26.94,26.94,0.04,0.12,0.22,0.15,0.44,-1.15,-1.7,1.27,0.41,7.49,13.88,0.31,1.02,3.04,0.36,0.58,-1.42,1.7,0.88,0.01,0.61,N
5.99,16.52,7.61,8.63,11.54,42.68,39.58,0.04,0.05,0.06,0.05,6.3,-2.98,3.32,0.46,0.65,3.75,2.28,0.57,1.15,17.82,0.51,0.52,-0.97,0.79,0.45,0.02,0.57,N
6.37,30.58,8.64,12.21,9.03,84.42,44.79,0.04,0.06,0.05,0.04,1.03,2.43,-6.1,0.63,0.54,-3.77,-2.16,0.43,0.62,12.2,0.65,0.45,-1.13,0.77,0.62,0.01,0.57,N
4.25,21.48,9.88,6.27,18.45,25.29,30.48,0.04,0.05,0.07,0.04,3.34,-4.65,-22.07,0.34,0.62,34.73,4.92,0.53,1.01,5.92,0.54,0.41,-1.64,0.69,0.31,0.02,0.62,N
14.01,15.71,10.39,9.13,59.8,112.59,114.85,0.05,0.09,0.03,0.05,0.7,-6.52,2.55,1.06,0.58,3.85,-4.72,0.51,1.07,9.39,0.51,0.56,-0.13,1.1,0.01,0.01,0.48,N
